host_id,face_ref,length_mm,in_scope,reason,evidence
R5,end_to,249.9,unknown,not yet classified,
R6,cross_hi,1750.0,unknown,not yet classified,
R6,cross_lo,1750.0,unknown,not yet classified,
R6,end_from,250.1,unknown,not yet classified,
R6,end_to,250.1,unknown,not yet classified,
R7,cross_hi,1749.7,unknown,not yet classified,
R7,cross_lo,1749.7,unknown,not yet classified,
R7,end_from,250.1,unknown,not yet classified,
R7,end_to,250.1,unknown,not yet classified,
R8,cross_hi,1789.7,unknown,not yet classified,
R8,cross_lo,1789.7,envelope,"exposed concrete frame on the facade, 150 mm",v0_insulation_placed.json places the band on this face
R8,end_from,250.0,unknown,not yet classified,
R8,end_to,250.0,unknown,not yet classified,
R9,cross_hi,1750.0,envelope,"exposed concrete frame on the facade, 150 mm (side=high)",v0_insulation_placed.json places the band on this face
R9,cross_lo,1750.0,unknown,not yet classified,
R9,end_from,249.9,unknown,not yet classified,
R9,end_to,249.9,unknown,not yet classified,
